elo_diff,home_elo_before,away_elo_before,win_rate_diff_L20,win_rate_diff_L10,win_rate_diff_L5,home_win_rate_L20,home_win_rate_L10,home_win_rate_L5,away_win_rate_L20,away_win_rate_L10,away_win_rate_L5,fg_pct_diff_L20,fg_pct_diff_L10,fg_pct_diff_L5,fg3_pct_diff_L20,fg3_pct_diff_L10,fg3_pct_diff_L5,h2h_home_win_rate,h2h_total_games,season_progress,home_team_id,away_team_id
-0.9663342324632889,-1.3205244197061607,0.024353761738877835,-0.677677727465443,-0.30294966020153524,-1.0080975736320477,-0.8720418091658445,-0.8089841112064291,-1.4481855560577237,0.007181883862961122,-0.49046822814779134,-0.010757234877545105,,,,,,,-0.228323159651459,-0.3660894112489939,0.29651924308260524,1610610028,1610610034
-0.10171591401166438,-0.7482751360929547,-0.6111767920006516,-0.5795624259844475,0.003776013624829626,0.5242673334751721,-0.6525877127461123,-0.4012014995077879,0.009169529815765583,0.12777647590963392,-0.49046822814779134,-0.7899910218931551,,,,,,,1.5259710277839673,-0.3668322884233167,-0.09824931922539117,1610610028,1610612752
-0.7612411569531964,-0.7924025446243138,0.26885659899401937,-1.0166214962179732,-0.6096753340279001,0.013479031106098759,-0.6525877127461123,-0.8089841112064291,0.009169529815765583,0.866418352195509,0.0018847551696791784,-0.010757234877545105,,,,,,,-2.5673820762320267,-0.3660894112489939,0.04978889164010774,1610610028,1610610025
-0.14733031355585594,-0.9277309402225388,-0.7280074989598325,0.00020981003961732854,-0.3029496602015356,0.5242673334751721,-0.6525877127461123,-0.4012014995077879,0.009169529815765583,-0.8520545844695868,0.0018847551696791784,-0.7899910218931551,,,,,,,1.5259710277839673,-0.3668322884233167,-0.04890324893689168,1610610028,1610612738
0.18162532510155568,-1.3421925767286391,-1.60661588916756,0.00020981003961695224,0.0037760136248292855,-0.4973092712629743,-1.0914959055855769,-1.2167667229050707,-1.4481855560577237,-1.4248788966912853,-1.4751741947827317,-0.7899910218931551,,,,,,,-0.228323159651459,-0.3660894112489939,0.24717317279410567,1610610028,1610610031
-1.3124625527632794,-0.9893062342264689,0.843180608930493,-1.4227244018131096,-1.2231266816806294,-1.0080975736320472,-0.8204055511847312,-0.8089841112064291,-0.719508013120979,1.3337223963763678,0.9865907218046196,0.7684765521380647,,,,,,,1.5259710277839673,-0.3668322884233167,-0.24628753009088972,1610610028,1610610036
-0.2742614823298795,-1.369469158498583,-0.9950567252232897,-0.16926207433664808,0.0037760136248292855,-0.4973092712629743,-1.0914959055855769,-1.2167667229050707,-1.4481855560577237,-1.138466740580436,-1.4751741947827317,-0.7899910218931551,,,,,,,-0.228323159651459,-0.3660894112489939,0.34586531337110465,1610610028,1610610035
-0.23455408721096807,-0.8438607828987706,-0.521257794907955,-0.3208948129890956,-0.6096753340279001,-0.4973092712629743,-0.7796400843575366,-0.8089841112064291,-0.719508013120979,-0.47519648432373257,0.0018847551696791784,-0.010757234877545105,,,,,,,-4.321676263667453,-0.3668322884233167,-0.14759538951389076,1610610028,1610610032
-0.5599112058988976,-1.109766239404466,-0.33304436231211565,-0.677677727465443,-0.9164010078542646,-0.4973092712629743,-0.6525877127461123,-0.8089841112064291,-0.719508013120979,0.29359403997381034,0.4942377384871494,-0.010757234877545105,,,,,,,-1.3978526179417428,-0.3668322884233167,0.0991349619286071,1610610028,1610610026
-0.6984252534784242,-1.1729888657265335,-0.20256917678348946,-0.16926207433664778,0.003776013624829626,-0.4973092712629743,-0.6525877127461123,-0.8089841112064291,-1.4481855560577237,-0.5656424283587376,-0.9828212114652616,-0.7899910218931551,,,,,,,-1.3978526179417428,-0.3668322884233167,0.1484810322171067,1610610028,1610612744
