is_home_win,home_form_5,away_form_5,home_form_10,away_form_10,home_form_15,away_form_15,days_off_home,days_off_away,is_regular_season,is_playoffs,match_number_season_home,match_number_season_away,home_over_away_wins_diff_5,home_over_away_wins_diff_10,home_win_probability_based_on_elo
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,1.0,2.0,0.0,0.0,0.5287505638922686
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,1.0,2.0,0.0,0.0,0.4712494361077314
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,1.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1,0,2.0,1.0,0.0,0.0,0.5287505638922686
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,1.0,2.0,0.0,0.0,0.4712494361077314
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,2.0,2.0,0.0,0.0,0.5
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,2.0,2.0,0.0,0.0,0.5589442794487854
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0,2.0,1.0,0.0,0.0,0.4712494361077314
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0,2.0,2.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,2.0,2.0,0.0,0.0,0.5573116337622928
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,2.0,2.0,0.0,0.0,0.5016550094515795
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0,2.0,2.0,0.0,0.0,0.5589442794487854
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0,3.0,3.0,0.0,0.0,0.44422816461050824
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,0,1.0,3.0,0.0,0.0,0.5016550094515795
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,2.0,3.0,0.0,0.0,0.5271007125144217
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,2.0,2.0,0.0,0.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0,2.0,2.0,0.0,0.0,0.44268836623770724
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,0,3.0,3.0,0.0,0.0,0.3900874606579091
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,2.0,3.0,0.0,0.0,0.4145013213281905
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0,3.0,3.0,0.0,0.0,0.44594656050206205
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0,2.0,2.0,0.0,0.0,0.43942434852803425
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1,0,2.0,2.0,0.0,0.0,0.49990472999885355
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1,0,3.0,2.0,0.0,0.0,0.4712494361077314
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1,0,3.0,2.0,0.0,0.0,0.46960021264220536
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1,0,3.0,3.0,0.0,0.0,0.5606575049740204
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0,3.0,3.0,0.0,0.0,0.495140987715342
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1,0,4.0,2.0,0.0,0.0,0.45057935257363363
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,3.0,3.0,0.0,0.0,0.5032038089886566
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1,0,4.0,3.0,0.0,0.0,0.5853213868896509
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0,3.0,3.0,0.0,0.0,0.5555839870440568
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,0,4.0,4.0,0.0,0.0,0.5492443689093885
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0,4.0,4.0,0.0,0.0,0.44693570670008376
